# strain name 	host	corrected_name
A/Chick/Macheng/2004	chicken	A/chicken/Macheng/2004
A/commoncoot/Switzerland/V544/2006	Eurasian_coot	A/commoncoot/Switzerland/V544/2006
A/Hatay/2004	chicken	A/chicken/Hatay/2004
A/Indonesia/CDC60/2005	chicken	A/chicken/Indonesia/CDC60/2005
A/ngan/Vietnam/NCVD-420/2010	duck	A/ngan/Vietnam/NCVD-420/2010
A/SCk/HongKong/YU100/2002	chicken	A/SCk/HongKong/YU100/2002
A/Ch/Indramayu/S50/2016	chicken	A/Ch/Indramayu/S50/2016
A/Ch/Indramayu/S46/2016	chicken	A/Ch/Indramayu/S46/2016
A/Ch/Purwakarta/S34/2016	chicken	A/Ch/Purwakarta/S34/2016
A/Ch/Indramayu/S39/2016	chicken	A/Ch/Indramayu/S39/2016
A/Qu/Subang/S62/2016	quail	A/Qu/Subang/S62/2016
A/Ch/Indramayu/S36/2016	chicken	A/Ch/Indramayu/S36/2016
A/Ch/Indramayu/S54/2016	chicken	A/Ch/Indramayu/S54/2016
A/Ch/Indramayu/S47/2016	chicken	A/Ch/Indramayu/S47/2016
A/Ch/Subang/S15/2016	chicken	A/Ch/Subang/S15/2016
A/Qu/Purwakarta/S52/2016	quail	A/Qu/Purwakarta/S52/2016
A/Ch/Subang/S14/2016	chicken	A/Ch/Subang/S14/2016
A/Ch/Tasikmalaya/S58/2016	chicken	A/Ch/Tasikmalaya/S58/2016
A/MusDk/Indramayu/S48/2016	Muscovy_duck	A/MusDk/Indramayu/S48/2016
A/MusDk/Indramayu/S20/2016	Muscovy_duck	A/MusDk/Indramayu/S20/2016
A/MusDk/Indramayu/C5t/2016	Muscovy_duck	A/MusDk/Indramayu/C5t/2016
A/Ch/Subang/S42c/2016	chicken	A/Ch/Subang/S42c/2016
A/Ch/Indramayu/S55/2016	chicken	A/Ch/Indramayu/S55/2016
A/Qu/Indramayu/S28/2016	quail	A/Qu/Indramayu/S28/2016
A/MusDk/Indramayu/S60/2016	Muscovy_duck	A/MusDk/Indramayu/S60/2016
A/Ch/Subang/S45/2016	chicken	A/Ch/Subang/S45/2016
A/Ch/Subang/S41c/2016	chicken	A/Ch/Subang/S41c/2016
A/Peru/PIU001/2022	Peruvian_pelican	A/Peruvian_pelican/Peru/PIU001/2022
A/Eg/HongKong/7573/2002	egret	A/Egret/HongKong/7573/2002
A/Dk/ST/4003/2003	duck	A/Duck/ST/4003/2003
A/Ck/ST/4231/2003	chicken	A/Chicken/ST/4231/2003
A/Dk/HN/5806/2003	duck	A/Duck/HN/5806/2003
A/Dk/YN/6255/2003	duck	A/Duck/YN/6255/2003